date,open,high,low,close,volume,symbol,exchange
2024-01-02,107.659,107.789,107.617,107.747,3551480,sh110059,sh
2024-01-03,107.71,107.82,107.54,107.75,3629580,sh110059,sh
2024-01-04,107.699,107.82,107.638,107.8,1112650,sh110059,sh
2024-01-05,107.757,107.874,107.757,107.84,2276100,sh110059,sh
2024-01-08,107.84,108.194,107.759,107.876,3027060,sh110059,sh
2024-01-09,107.812,107.9,107.723,107.867,3035210,sh110059,sh
2024-01-10,107.831,108.05,107.783,107.94,2842980,sh110059,sh
2024-01-11,107.903,107.983,107.754,107.88,1840670,sh110059,sh
2024-01-12,107.836,107.895,107.804,107.84,2726450,sh110059,sh
2024-01-15,107.805,107.864,107.77,107.804,4411440,sh110059,sh
2024-01-16,107.799,107.849,107.763,107.843,2214780,sh110059,sh
2024-01-17,107.815,107.849,107.78,107.832,1966700,sh110059,sh
2024-01-18,107.845,107.849,107.752,107.834,2788120,sh110059,sh
2024-01-19,107.801,107.948,107.801,107.898,1469990,sh110059,sh
2024-01-22,107.9,108.048,107.84,107.904,2626350,sh110059,sh
2024-01-23,107.84,108.166,107.815,107.939,4991350,sh110059,sh
2024-01-24,107.92,108.05,107.905,108.028,4911570,sh110059,sh
2024-01-25,107.95,108.143,107.931,108.056,4117190,sh110059,sh
2024-01-26,108.098,108.13,107.8,108.098,1965250,sh110059,sh
2024-01-29,108.085,108.388,108.001,108.1,2578530,sh110059,sh
2024-01-30,108.072,108.248,108.052,108.197,3086740,sh110059,sh
2024-01-31,108.237,108.4,108.162,108.24,3165450,sh110059,sh
2024-02-01,108.241,108.398,108.033,108.237,2549670,sh110059,sh
2024-02-02,108.233,108.33,108.18,108.195,3518810,sh110059,sh
2024-02-05,108.29,108.29,108.001,108.231,3999070,sh110059,sh
2024-02-06,108.134,108.244,108.101,108.166,2818140,sh110059,sh
2024-02-07,108.198,108.3,108.062,108.16,2751600,sh110059,sh
2024-02-08,108.151,108.37,108.15,108.312,1636070,sh110059,sh
2024-02-19,108.383,108.39,108.23,108.39,996570,sh110059,sh
