date,open,high,low,close,volume,symbol,exchange
2024-01-02,384.0,385.399,382.625,384.4,109460,sz123031,sz
2024-01-03,384.0,386.491,370.02,374.24,135470,sz123031,sz
2024-01-04,374.049,374.049,370.1,374.0,33710,sz123031,sz
2024-01-05,373.589,374.854,359.001,361.589,93880,sz123031,sz
2024-01-08,361.7,364.68,354.868,356.3,42312,sz123031,sz
2024-01-09,356.4,368.879,354.194,366.302,216851,sz123031,sz
2024-01-10,366.302,369.38,362.049,369.0,165740,sz123031,sz
2024-01-11,368.779,377.537,367.365,375.86,199430,sz123031,sz
2024-01-12,377.0,377.5,371.204,376.2,75140,sz123031,sz
2024-01-15,376.3,380.0,373.0,374.0,104784,sz123031,sz
2024-01-16,374.6,375.434,368.0,373.8,48070,sz123031,sz
2024-01-17,373.8,373.8,368.6,373.0,21730,sz123031,sz
2024-01-18,371.5,372.6,361.523,368.13,40165,sz123031,sz
2024-01-19,373.0,376.0,363.52,365.99,101975,sz123031,sz
2024-01-22,366.09,367.351,350.0,355.723,75935,sz123031,sz
2024-01-23,357.0,363.9,350.001,355.0,130039,sz123031,sz
2024-01-24,355.1,358.5,345.3,349.0,70650,sz123031,sz
2024-01-25,360.0,360.5,353.5,359.5,220860,sz123031,sz
2024-01-26,358.613,362.0,356.0,358.0,127350,sz123031,sz
2024-01-29,358.0,360.597,354.61,357.39,46630,sz123031,sz
2024-01-30,357.49,357.49,347.0,347.0,38360,sz123031,sz
2024-01-31,343.53,345.0,325.853,327.88,75390,sz123031,sz
2024-02-01,327.5,344.601,307.3,322.2,583970,sz123031,sz
2024-02-02,322.45,327.798,308.8,311.765,257260,sz123031,sz
2024-02-05,311.289,312.31,285.476,296.9,315370,sz123031,sz
2024-02-06,296.898,305.799,294.0,301.8,382060,sz123031,sz
2024-02-07,302.0,318.68,300.001,301.5,998823,sz123031,sz
2024-02-08,303.501,319.128,302.936,306.0,981372,sz123031,sz
2024-02-19,310.0,315.0,310.0,312.198,200810,sz123031,sz
2024-02-20,312.3,316.66,309.003,314.0,242040,sz123031,sz
2024-02-21,314.1,319.969,312.191,316.2,298140,sz123031,sz
2024-02-22,317.46,343.5,316.2,328.575,2393600,sz123031,sz
2024-02-23,328.575,332.88,325.034,327.6,473210,sz123031,sz
2024-02-26,326.3,330.317,323.1,324.179,440870,sz123031,sz
2024-02-27,324.179,325.888,322.27,324.7,310450,sz123031,sz
2024-02-28,324.8,327.8,319.21,319.21,296410,sz123031,sz
2024-02-29,319.5,346.8,319.33,332.0,4426090,sz123031,sz
2024-03-01,327.804,334.497,325.0,326.3,735335,sz123031,sz
2024-03-04,326.49,328.5,320.521,324.77,535790,sz123031,sz
2024-03-05,322.2,325.5,319.34,321.196,387630,sz123031,sz
2024-03-06,321.49,323.29,319.719,321.999,181410,sz123031,sz
2024-03-07,324.0,328.8,320.025,320.986,445900,sz123031,sz
2024-03-08,322.0,324.5,320.359,324.5,259556,sz123031,sz
2024-03-11,324.09,332.794,323.887,331.31,435433,sz123031,sz
2024-03-12,331.17,333.98,329.154,330.49,265985,sz123031,sz
2024-03-13,331.8,335.0,329.5,331.501,307870,sz123031,sz
2024-03-14,331.501,332.33,329.52,331.6,140980,sz123031,sz
2024-03-15,331.305,333.5,330.584,332.82,101550,sz123031,sz
2024-03-18,333.49,334.8,333.0,333.666,249670,sz123031,sz
2024-03-19,334.0,334.2,327.8,328.223,259599,sz123031,sz
2024-03-20,328.223,333.0,327.223,329.26,362727,sz123031,sz
2024-03-21,329.665,331.5,325.8,326.5,126440,sz123031,sz
2024-03-22,326.801,330.168,325.3,325.5,200630,sz123031,sz
2024-03-25,325.0,329.723,322.0,324.622,233110,sz123031,sz
2024-03-26,324.9,328.3,320.641,321.85,128250,sz123031,sz
